bundesland,letzte_wahl,cdu_csu,spd,grüne,afd,fdp,linke,freie_wähler,partei,tierschutz,ödp,piraten,basis,weitere,sonstige
Baden-Württemberg,2021,24.1,11,32.6,9.7,10.5,3.6,3,1.2,0,0.8,0.1,1,0,4.2
Bayern,2018,37.2,9.7,17.6,10.2,5.1,3.2,11.6,0.4,0.3,1.6,0.4,0,1.7,1.3
Berlin,2021,18.1,21.4,18.9,8,7.2,14,0.8,1.8,2.2,0.1,0.4,1.3,2.1,3.6
Brandenburg,2019,15.6,26.2,10.8,23.5,4.1,10.7,5,0,2.6,0.6,0.7,0,0,0.8
Bremen,2019,26.7,24.9,17.4,6.1,5.9,11.3,1,1.7,0,0,1,0,2.4,1.6
Hamburg,2020,11.2,39.2,24.2,5.3,5,9.1,0.6,1.4,0.7,0.7,0.5,0,1.3,1.6
Hessen,2018,27,19.8,19.8,13.1,7.5,6.3,3,0.6,1,0.3,0.4,0,0,1.5
Mecklenburg-Vorpommern,2021,13.3,39.6,6.3,16.7,5.8,9.9,1.1,0.8,1.7,0.1,0.4,1.7,0,2.7
Niedersachsen,2017,33.6,36.9,8.7,6.2,7.5,4.6,0.3,0.6,0.7,0.1,0.2,0,0,1
Nordrhein-Westfalen,2017,33,31.2,6.4,7.4,12.6,4.9,0.4,0.6,0,0.2,1,0,0,3.1
Rheinland-Pfalz,2021,27.7,35.7,9.3,8.3,5.5,2.5,5.4,1.1,1.7,0.7,0.5,0,0,2.4
Saarland,2022,28.5,43.5,5,5.7,4.8,2.6,1.7,1,2.3,0.1,0.3,1.4,0,2.3
Sachsen,2019,32.1,7.7,8.6,27.5,4.5,10.4,3.4,1.6,1.5,0.3,0.3,0,0,2.4
Sachsen-Anhalt,2021,37.1,8.4,5.9,20.8,6.4,11,3.1,0.7,1.4,0.1,0.4,1.5,1.4,2.1
Schleswig-Holstein,2017,32,27.3,12.9,5.9,11.5,3.8,0.6,0.6,0,0,1.2,0,3.3,1.5
Thüringen,2019,21.7,8.2,5.2,23.4,5,31,0,1.1,0,0.4,0,0,1.1,3.2
